Strategy,Total_Capacity,Current_Capital,Utilization_Pct,Recommended_Max
LONG,72883795.57472569,1000000,1.3720470951251824,72883795.57472569
SHORT,60555976.97019224,1000000,1.6513646547098644,60555976.97019224
