Date,Equity_long,Equity_short,Long_Returns,Short_Returns,Rolling_Corr,Long_DD,Short_DD,Both_In_DD
2025-06-02,998897.405,1000142.15428,,,,0.0,0.0,False
2025-06-03,998469.0310666666,999308.71642,-0.00042884677764620793,-0.0008333194000806898,,-0.04288467776462367,-0.08333194000807352,False
2025-06-04,1000069.463266667,998929.2744299999,0.0016028861689287854,-0.00037970447346780123,,0.0,-0.12127074584445373,False
2025-06-05,999952.4044000006,1000524.2940849997,-0.00011705073593992754,0.0015967293139045324,,-0.011705073593991292,0.0,False
2025-06-06,1004496.217000001,998676.3424649998,0.004544028875781203,-0.0018469832576029077,,0.0,-0.18469832576028944,False
2025-06-09,1015493.2846833345,1000577.0393649997,0.010947843801917934,0.0019032161063399222,,0.0,0.0,False
2025-06-10,1033732.4352500006,1000850.1465099996,0.017960877577199996,0.00027294964231172614,,0.0,0.0,False
2025-06-11,1034467.0768333338,1003496.5998299996,0.0007106689877207639,0.0026442053580431057,,0.0,0.0,False
2025-06-12,1029518.7656166675,1009192.5248349996,-0.004783440021903784,0.005676078031519927,,-0.47834400219037626,0.0,False
2025-06-13,1038114.5026333341,1013233.3284399995,0.008349276675416295,0.004003996765295614,,0.0,0.0,False
2025-06-16,1047367.4905833339,1013437.5987149994,0.008913263350553535,0.00020160240417110842,,0.0,0.0,False
2025-06-17,1041795.8317833337,1016399.7567799992,-0.005319678957093732,0.002922881555564638,,-0.5319678957093713,0.0,False
2025-06-18,1044607.6305333329,1017059.9435649992,0.0026989921289914953,0.0006495345759343074,,-0.2635044599736276,0.0,False
2025-06-20,1042640.4864666668,1018197.5549599992,-0.001883141582702974,0.0011185293474567093,,-0.45132240203812024,0.0,False
2025-06-23,1043958.0198166664,1017984.3775499989,0.0012636506706780182,-0.00020936743460220342,,-0.3255276488263538,-0.020936743460222864,False
2025-06-24,1046863.7330333319,1017561.6842549989,0.00278336212904029,-0.0004152257189027342,,-0.04809749725202855,-0.06245062187614682,False
2025-06-25,1049979.4178499982,1018399.193114999,0.002976208572665451,0.0008230546343863665,,0.0,0.0,False
2025-06-26,1051519.2361999988,1020217.9972299988,0.001466522413509308,0.001785944183082755,,0.0,0.0,False
2025-06-27,1055154.3600999992,1020087.3057699987,0.003457020827443147,-0.00012810150414421795,,0.0,-0.012810150414417269,False
2025-06-30,1062844.3841333324,1023291.9027399985,0.007288055969938201,0.003141492842694271,,0.0,0.0,False
2025-07-01,1065991.5421333327,1024759.4621349985,0.0029610712979084575,0.0014341551917593787,,0.0,0.0,False
2025-07-02,1067414.9425999997,1024546.2868949986,0.0013352830772168645,-0.00020802466127589625,,0.0,-0.020802466127588872,False
2025-07-03,1082438.6285500005,1025473.4477499984,0.014074831961229828,0.0009049477479534662,,0.0,0.0,False
2025-07-07,1077916.9814166666,1027063.0491699985,-0.004177278059071976,0.0015501146553211775,,-0.4177278059071942,0.0,False
