Rank,StrategyName,SignalType,ATRPeriod,InitialStopMultiplier,BETrigger,TargetMultiplier,TotalTrades,WinningTrades,LosingTrades,WinRate,TotalProfit,TotalLoss,NetProfit,ProfitFactor,AvgWin,AvgLoss,AvgWinLossRatio,SystemScore,BreakevenTriggeredPct,AvgBarsInTrade
1,ATR_Breakeven_Stop,Short,30,2.0,4.0,10.0,60033,18085,37263,0.30125097862842104,8817575.723961813,8806392.449097164,11183.274864647683,1.0012699042121154,487.5629374598736,236.33074226705213,2.063053383503238,11197.476552503544,26.34550996951677,15.754435060716606
2,ATR_Breakeven_Stop,Short,30,2.0,4.0,8.0,60033,18368,37263,0.3059650525544284,8780954.128131539,8806392.449097164,-25438.320965626917,0.9971113800443638,478.05717160994874,236.33074226705213,2.0228310842004102,-25364.83932404773,26.34550996951677,15.401312611397065
3,ATR_Breakeven_Stop,Short,30,2.0,3.5,10.0,60033,17438,36144,0.2904735728682558,8572642.84625847,8600483.19241059,-27840.346152118844,0.9967629323226064,491.6069988679018,237.95050886483483,2.0660052429102125,-27750.22506746237,30.956307364282974,15.500641313943998
4,ATR_Breakeven_Stop,Short,30,2.0,3.5,8.0,60033,17711,36144,0.2950210717438742,8538559.142336015,8600483.19241059,-61924.050074575236,0.9927999335980077,482.1048581297507,237.95050886483483,2.0260719778649645,-61478.192802157995,30.956307364282974,15.1565305748505
5,ATR_Breakeven_Stop,Short,30,2.0,4.0,7.0,60033,18612,37263,0.31002948378391887,8743755.45820197,8806392.449097164,-62636.99089519576,0.9928873268756476,469.79128831946974,236.33074226705213,1.987855172005548,-62191.4744534652,26.34550996951677,15.07795712358203
6,ATR_Breakeven_Stop,Short,30,2.0,4.0,6.0,60033,19071,37263,0.31767527859677175,8732331.22693174,8806392.449097164,-74061.22216542612,0.9915900611296267,457.88533516500127,236.33074226705213,1.9374768207159183,-73438.37181434975,26.34550996951677,14.565355721020106
7,ATR_Breakeven_Stop,Short,30,2.0,3.5,7.0,60033,17947,36144,0.2989522429330535,8504458.742183534,8600483.19241059,-96024.45022705497,0.9888349935603861,473.8651998764994,237.95050886483483,1.991444364364328,-94952.33662190952,30.956307364282974,14.839005213799076
8,ATR_Breakeven_Stop,Short,30,2.0,3.0,10.0,60033,16445,34681,0.27393267036463276,8175101.244410371,8308062.804772167,-132961.56036179618,0.9839960814589146,497.1177406147991,239.5566103852878,2.0751576832518466,-130833.65438067038,35.96855063048657,15.07539186780604
9,ATR_Breakeven_Stop,Short,30,2.0,3.5,6.0,60033,18383,36144,0.3062149151300118,8461871.14640019,8600483.19241059,-138612.04601039895,0.9838832257549533,460.30958746669154,237.95050886483483,1.934476163394823,-136378.06695720533,30.956307364282974,14.338014092249264
10,ATR_Breakeven_Stop,Short,30,2.0,4.0,5.0,60033,19954,37263,0.3323838555461163,8667652.648841958,8806392.449097164,-138739.8002552068,0.9842455578652495,434.38171037596265,236.33074226705213,1.8380245676422167,-136554.0321002993,26.34550996951677,13.796911698565788
11,ATR_Breakeven_Stop,Short,30,2.0,3.0,8.0,60033,16700,34681,0.27818033414955107,8143270.73207012,8308062.804772167,-164792.07270204765,0.9801648017625253,487.6210019203665,239.5566103852878,2.0355146999955775,-161523.38927203818,35.96855063048657,14.748021921276631
