Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Shares,EntryValue,ExitValue,NetProfit,PctProfit,BarsHeld,ExitReason
BNS,2025-06-02,53.535,2025-06-03,53.54,1227,65687.44499999999,65693.58,6.135000000009313,0.009339684318684208,20,TIME
UAL,2025-06-03,81.02,2025-06-04,81.4652,431,34919.619999999995,35111.5012,191.88120000000345,0.5494939521105999,20,TIME
