Rank,StrategyName,SignalType,ATRPeriod,Multiplier,TotalTrades,WinningTrades,LosingTrades,WinRate,TotalProfit,TotalLoss,NetProfit,ProfitFactor,AvgWin,AvgLoss,AvgWinLossRatio,SystemScore,AvgBarsInTrade
1,ATR_Trailing_Stop,Short,30,1.5,60033,20601,39354,0.34316126130628155,7049358.78743734,6190266.448865669,859092.3385716715,1.138781156783501,342.1852719497762,157.29700789921404,2.1754086522041596,978318.1671024911,8.734196192094348
2,ATR_Trailing_Stop,Short,30,2.0,60033,22286,37571,0.3712291572968201,8265982.931280201,7541019.024334149,724963.9069460521,1.096136066572258,370.90473531724854,200.71382247835163,1.8479282131017816,794659.0853667019,11.144986923858545
3,ATR_Trailing_Stop,Short,30,2.5,60033,23929,35811,0.398597438075725,9226297.530501336,8591784.266693007,634513.2638083276,1.0738511634036354,385.56970748887693,239.92025541573838,1.6070744290462446,681372.8065356105,13.054120233871371
4,ATR_Trailing_Stop,Short,30,3.0,60033,25340,34311,0.42210117768560623,9899319.457928397,9385522.2689198,513797.1890085974,1.0547435906374694,390.65980496955,273.5426617970855,1.4281494608667011,541924.2919943666,14.525894091582963
5,ATR_Trailing_Stop,Short,30,3.5,60033,26292,33280,0.4379591224826346,10385572.662788553,10002837.597453559,382735.0653349946,1.0382626491339246,395.00884918562883,300.5660335773305,1.314216528342348,397379.5228511572,15.659553912015058
6,ATR_Trailing_Stop,Short,30,4.0,60033,27111,32405,0.45160161910948976,10707852.56348276,10452020.901757127,255831.6617256333,1.0244767652237112,394.9633935849935,322.5434624828615,1.224527666890722,262093.59324648354,16.545333399963354
7,ATR_Trailing_Stop,Short,30,4.5,60033,27711,31760,0.46159612213282697,10943530.201371824,10802887.803385261,140642.39798656298,1.013018963127849,394.91646643469466,340.1413036330372,1.1610364934120199,142473.4161801623,17.224643112954542
8,ATR_Trailing_Stop,Short,30,5.0,60033,28124,31319,0.4684756717138907,11162278.081685994,11063791.339278266,98486.7424077282,1.0089017172673969,396.89511028608996,353.2613218582415,1.1235170275600057,99363.44354322874,17.740459413988972
