Rank,StrategyName,SignalType,ATRPeriod,InitialStopMultiplier,BETrigger,TargetMultiplier,TotalTrades,WinningTrades,LosingTrades,WinRate,TotalProfit,TotalLoss,NetProfit,ProfitFactor,AvgWin,AvgLoss,AvgWinLossRatio,SystemScore,BreakevenTriggeredPct,AvgBarsInTrade
1,ATR_Breakeven_Stop,Short,30,2.0,3.0,10.0,60033,16445,34681,0.27393267036463276,8175101.244410371,8308062.804772167,-132961.56036179618,0.9839960814589146,497.1177406147991,239.5566103852878,2.0751576832518466,-130833.65438067038,35.96855063048657,15.07539186780604
2,ATR_Breakeven_Stop,Short,30,2.0,3.0,8.0,60033,16700,34681,0.27818033414955107,8143270.73207012,8308062.804772167,-164792.07270204765,0.9801648017625253,487.6210019203665,239.5566103852878,2.0355146999955775,-161523.38927203818,35.96855063048657,14.748021921276631
3,ATR_Breakeven_Stop,Short,30,2.0,3.0,7.0,60033,16920,34681,0.281844985258108,8115062.411716243,8308062.804772167,-193000.39305592404,0.9767695072135151,479.61361771372594,239.5566103852878,2.0020888463163073,-188516.89881724963,35.96855063048657,14.442306731297787
4,ATR_Breakeven_Stop,Short,30,2.0,3.0,6.0,60033,17332,34681,0.2887078773341329,8072199.02265649,8308062.804772167,-235863.7821156782,0.9716102552835547,465.7396158929431,239.5566103852878,1.9441735093173875,-229167.6695535588,35.96855063048657,13.961337930804724
5,ATR_Breakeven_Stop,Short,30,2.0,3.0,5.0,60033,18146,34681,0.30226708643579364,8021332.1868645325,8308062.804772167,-286730.6179076357,0.9654876684679207,442.0440971489327,239.5566103852878,1.8452594417577404,-276834.8757620094,35.96855063048657,13.22962370696117
6,ATR_Breakeven_Stop,Short,30,2.0,2.5,10.0,60033,15009,32693,0.25001249312877916,7596628.272543836,7903722.024839407,-307093.75229557185,0.9611456790445752,506.1382019151067,241.7557894607227,2.093592889932993,-295161.83308047394,41.648759848749854,14.373461262972032
7,ATR_Breakeven_Stop,Short,30,2.0,2.5,8.0,60033,15246,32693,0.2539603218229973,7575230.536807183,7903722.024839407,-328491.488032224,0.9584383804238233,496.86675434915276,241.7557894607227,2.0552424223531456,-314838.8497726165,41.648759848749854,14.064464544500524
8,ATR_Breakeven_Stop,Short,30,2.0,3.0,4.0,60033,19911,34681,0.3316675828294438,7974140.4579310445,8308062.804772167,-333922.3468411232,0.9598074358983761,400.48919983582164,239.5566103852878,1.6717935655864389,-320501.1515107467,35.96855063048657,12.109856245731514
9,ATR_Breakeven_Stop,Short,30,2.0,2.5,7.0,60033,15441,32693,0.2572085353055819,7539630.502416796,7903722.024839407,-364091.5224226113,0.9539341690815589,488.2864129536167,241.7557894607227,2.0197506502029277,-347319.3439118535,41.648759848749854,13.779371345759833
10,ATR_Breakeven_Stop,Short,30,2.0,2.5,6.0,60033,15824,32693,0.26358835973547884,7503494.485494004,7903722.024839407,-400227.5393454036,0.9493621437991381,474.1844341186807,241.7557894607227,1.9614191460582167,-379960.87476040627,41.648759848749854,13.32523778588443
